IBXX - Carteira do Dia 20/06/25
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ALOS3;ALLOS;ON  ED  NM;476.976.044;0,460;
ABEV3;AMBEV S/A;ON;4.394.835.131;2,636;
AMBP3;AMBIPAR;ON      NM;36.932.489;0,282;
ASAI3;ASSAI;ON      NM;1.345.897.506;0,661;
AURE3;AUREN;ON      NM;323.738.747;0,145;
AZZA3;AZZAS 2154;ON      NM;136.643.320;0,251;
B3SA3;B3;ON      NM;5.200.055.464;3,188;
BBSE3;BBSEGURIDADE;ON      NM;637.332.335;1,006;
BBDC3;BRADESCO;ON      N1;1.469.064.981;0,944;
BBDC4;BRADESCO;PN      N1;5.111.682.020;3,809;
BRAP4;BRADESPAR;PN      N1;250.982.988;0,171;
BBAS3;BRASIL;ON      NM;2.842.613.858;2,756;
BRKM5;BRASKEM;PNA     N1;265.388.400;0,120;
BRAV3;BRAVA;ON      NM;451.311.960;0,410;
BRFS3;BRF SA;ON      NM;832.617.717;0,774;
BPAC11;BTGP BANCO;UNT     N2;1.287.247.964;2,392;
CXSE3;CAIXA SEGURI;ON      NM;600.000.000;0,385;
CEAB3;CEA MODAS;ON      NM;101.504.341;0,079;
CMIG4;CEMIG;PN      N1;1.858.636.840;0,897;
COGN3;COGNA ON;ON      NM;1.872.454.628;0,240;
CSMG3;COPASA;ON      NM;188.462.398;0,230;
CPLE3;COPEL;ON      N2;1.293.575.090;0,673;
CPLE6;COPEL;PNB     N2;1.671.982.390;0,933;
CSAN3;COSAN;ON      NM;1.160.227.510;0,413;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,337;
CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,365;
CURY3;CURY S/A;ON      NM;133.117.425;0,174;
CVCB3;CVC BRASIL;ON      NM;450.926.127;0,046;
CYRE3;CYRELA REALT;ON      NM;257.174.951;0,292;
DIRR3;DIRECIONAL;ON      NM;108.541.907;0,205;
ECOR3;ECORODOVIAS;ON      NM;329.302.615;0,114;
ELET3;ELETROBRAS;ON      N1;1.977.170.723;3,564;
ELET6;ELETROBRAS;PNB     N1;268.875.696;0,539;
EMBR3;EMBRAER;ON      NM;734.631.701;2,381;
ENGI11;ENERGISA;UNT     N2;326.175.300;0,684;
ENEV3;ENEVA;ON      NM;1.907.494.195;1,176;
EGIE3;ENGIE BRASIL;ON      NM;255.236.938;0,461;
EQTL3;EQUATORIAL;ON      NM;1.244.304.866;2,022;
EZTC3;EZTEC;ON      NM;95.300.871;0,057;
FLRY3;FLEURY;ON      NM;455.988.366;0,273;
GGBR4;GERDAU;PN      N1;1.308.152.318;0,961;
GOAU4;GERDAU MET;PN      N1;623.866.944;0,254;
GGPS3;GPS;ON      NM;392.414.992;0,267;
GMAT3;GRUPO MATEUS;ON      NM;461.916.853;0,164;
NTCO3;GRUPO NATURA;ON      NM;845.713.747;0,393;
HAPV3;HAPVIDA;ON      NM;311.217.208;0,546;
HYPE3;HYPERA;ON      NM;360.057.207;0,443;
IGTI11;IGUATEMI S.A;UNT     N1;198.474.750;0,196;
IRBR3;IRBBRASIL RE;ON      NM;81.838.243;0,173;
ISAE4;ISA ENERGIA;PN      N1;395.801.044;0,411;
ITSA4;ITAUSA;PN      N1;5.856.697.902;2,833;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;5.279.280.090;8,644;
KLBN11;KLABIN S/A;UNT     N2;765.785.673;0,614;
RENT3;LOCALIZA;ON      NM;956.264.719;1,908;
LREN3;LOJAS RENNER;ON      NM;1.030.587.204;0,858;
LWSA3;LWSA;ON      NM;388.793.259;0,072;
MGLU3;MAGAZ LUIZA;ON      NM;353.448.195;0,147;
POMO4;MARCOPOLO;PN      N2;666.378.439;0,226;
MRFG3;MARFRIG;ON      NM;237.618.211;0,257;
BEEF3;MINERVA;ON      NM;433.214.256;0,095;
MOTV3;MOTIVA SA;ON      NM;991.920.937;0,605;
MOVI3;MOVIDA;ON      NM;121.834.637;0,046;
MRVE3;MRV;ON      NM;375.507.695;0,098;
MULT3;MULTIPLAN;ON      N2;314.311.970;0,368;
ONCO3;ONCOCLINICAS;ON      NM;573.410.284;0,117;
PCAR3;P.ACUCAR-CBD;ON      NM;461.260.303;0,063;
PETR3;PETROBRAS;ON      N2;3.483.155.534;5,536;
PETR4;PETROBRAS;PN      N2;4.410.955.873;6,453;
RECV3;PETRORECSA;ON      NM;274.981.010;0,190;
PRIO3;PETRORIO;ON      NM;779.999.989;1,516;
PETZ3;PETZ;ON      NM;295.519.280;0,056;
PSSA3;PORTO SEGURO;ON      NM;182.560.698;0,435;
RADL3;RAIADROGASIL;ON      NM;1.297.567.800;0,826;
RAIZ4;RAIZEN;PN      N2;1.210.756.333;0,095;
RDOR3;REDE D OR;ON  EJ  NM;1.145.289.019;1,796;
RAIL3;RUMO S.A.;ON  ED  NM;1.216.914.397;1,000;
SBSP3;SABESP;ON      NM;683.495.706;3,523;
SANB11;SANTANDER BR;UNT;356.586.730;0,477;
STBP3;SANTOS BRP;ON      NM;409.543.219;0,250;
SMTO3;SAO MARTINHO;ON      NM;128.130.966;0,111;
CSNA3;SID NACIONAL;ON  ATZ;727.459.637;0,264;
SLCE3;SLC AGRICOLA;ON      NM;194.261.422;0,159;
SMFT3;SMART FIT;ON  EJ  NM;328.547.988;0,354;
SUZB3;SUZANO S.A.;ON      NM;630.821.784;1,481;
TAEE11;TAESA;UNT     N2;218.568.234;0,333;
VIVT3;TELEF BRASIL;ON;764.884.256;1,015;
TEND3;TENDA;ON      NM;120.609.176;0,123;
TIMS3;TIM;ON      NM;806.346.646;0,760;
TOTS3;TOTVS;ON      NM;531.531.039;1,002;
UGPA3;ULTRAPAR;ON      NM;1.089.082.981;0,839;
USIM5;USIMINAS;PNA     N1;515.193.199;0,104;
VALE3;VALE;ON      NM;4.270.903.023;9,729;
VAMO3;VAMOS;ON      NM;485.166.826;0,104;
VBBR3;VIBRA;ON      NM;1.113.939.036;1,071;
VIVA3;VIVARA S.A.;ON      NM;123.160.591;0,140;
WEGE3;WEG;ON  ATZ NM;1.482.105.837;2,758;
YDUQ3;YDUQS PART;ON      NM;260.249.057;0,196;
Quantidade Teórica Total;;;97.512.712.042;100,000
Redutor;;;38.326.543,39575764
